course_id,num_students,total_students,stat
"
MITx/14.73x/2013_Spring",207,2715,0.0762
"
HarvardX/PH207x/2012_Fall",193,4199,0.0460
"
MITx/2.01x/2013_Spring",25,573,0.0436
"
MITx/7.00x/2013_Spring",86,2032,0.0423
"
MITx/6.002x/2012_Fall",166,4053,0.0410
"
MITx/6.00x/2012_Fall",278,6804,0.0409
"
MITx/3.091x/2012_Fall",53,1398,0.0379
"
HarvardX/ER22x/2013_Spring",187,5686,0.0329
"
MITx/6.002x/2013_Spring",71,2196,0.0323
"
MITx/8.MReV/2013_Summer",26,937,0.0277
"
MITx/8.02x/2013_Spring",79,3045,0.0259
"
MITx/6.00x/2013_Spring",128,5775,0.0222
"
MITx/3.091x/2013_Spring",11,582,0.0189
"
HarvardX/PH278x/2013_Spring",67,4044,0.0166
"
HarvardX/CB22x/2013_Spring",44,2917,0.0151
"
HarvardX/CS50x/2012",141,16926,0.0083
